FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5
Fv_L3	268.39	239.00	198.55	178.10	143.98
Fv_L4	220.66	195.61	166.32	153.20	118.96
Fv_Lss	204.26	172.02	148.53	140.26	101.44
Fv_D1	379.75	424.63	338.98	244.16	248.10
Fv_D2	405.00	442.27	352.46	271.30	264.77
Fv_D3	411.53	443.56	352.81	274.94	261.80
Fq_L1	-9.11	-19.52	12.65	3.33	1.17
Fq_L2	6.13	5.46	-1.90	4.22	-2.30
Fq_L3	10.98	7.32	-0.87	5.82	3.11
Fq_L4	9.30	3.07	1.24	7.87	-1.76
Fq_Lss	7.44	3.31	1.53	7.09	-3.42
Fq_D1	358.79	397.86	323.81	231.71	237.63
Fq_D2	383.27	416.91	335.39	258.25	252.89
Fq_D3	389.90	419.59	334.89	261.56	248.62
QY_max	0.87	0.87	0.87	0.88	0.88
Fv/Fm_L1	0.85	0.84	0.86	0.87	0.87
Fv/Fm_L2	0.81	0.78	0.81	0.83	0.81
Fv/Fm_L3	0.79	0.76	0.78	0.81	0.78
Fv/Fm_L4	0.76	0.72	0.75	0.79	0.75
Fv/Fm_Lss	0.75	0.70	0.74	0.77	0.73
Fv/Fm_D1	0.83	0.83	0.85	0.85	0.85
Fv/Fm_D2	0.84	0.84	0.85	0.86	0.86
Fv/Fm_D3	0.84	0.84	0.85	0.86	0.86
QY_L1	-0.03	-0.05	0.02	-0.01	-0.02
QY_L2	0.00	-0.00	-0.02	-0.02	-0.06
QY_L3	0.01	0.00	-0.02	-0.01	-0.03
QY_L4	0.01	-0.01	-0.02	-0.01	-0.07
QY_Lss	0.00	-0.01	-0.03	-0.02	-0.10
QY_D1	0.79	0.78	0.81	0.80	0.82
QY_D2	0.80	0.79	0.81	0.82	0.82
QY_D3	0.80	0.79	0.81	0.82	0.81
NPQ_L1	0.18	0.22	0.15	0.16	0.18
NPQ_L2	0.58	0.83	0.70	0.53	0.82
NPQ_L3	0.86	1.12	1.01	0.84	1.17
NPQ_L4	1.20	1.52	1.34	1.11	1.56
NPQ_Lss	1.37	1.84	1.57	1.28	1.96
NPQ_D1	0.39	0.32	0.27	0.40	0.33
NPQ_D2	0.31	0.26	0.23	0.26	0.26
NPQ_D3	0.29	0.26	0.22	0.25	0.27
qN_L1	0.15	0.19	0.13	0.11	0.13
qN_L2	0.40	0.50	0.45	0.35	0.47
qN_L3	0.50	0.58	0.55	0.48	0.57
qN_L4	0.59	0.66	0.62	0.55	0.64
qN_Lss	0.63	0.70	0.66	0.59	0.69
qN_D1	0.29	0.25	0.21	0.28	0.25
qN_D2	0.24	0.22	0.18	0.19	0.19
qN_D3	0.23	0.21	0.18	0.18	0.20
qP_L1	-0.03	-0.06	0.02	-0.01	-0.03
qP_L2	-0.00	-0.00	-0.04	-0.03	-0.09
qP_L3	0.01	-0.00	-0.04	-0.03	-0.06
qP_L4	0.01	-0.03	-0.04	-0.02	-0.13
qP_Lss	-0.01	-0.04	-0.05	-0.05	-0.17
qP_D1	0.95	0.94	0.96	0.95	0.96
qP_D2	0.95	0.94	0.95	0.95	0.95
qP_D3	0.95	0.95	0.95	0.95	0.95
qL_L1	-0.39	-0.51	-0.05	-0.46	-0.53
qL_L2	-0.16	-0.19	-0.39	-0.51	-1.09
qL_L3	-0.15	-0.21	-0.45	-0.60	-0.83
qL_L4	-0.21	-0.34	-0.50	-0.57	-1.31
qL_Lss	-0.28	-0.43	-0.54	-0.94	-1.62
qL_D1	1.19	1.23	1.21	1.24	1.27
qL_D2	1.21	1.22	1.23	1.26	1.25
qL_D3	1.21	1.21	1.24	1.26	1.30
Rfd_L1	0.23	0.24	0.27	0.29	0.31
Rfd_L2	0.72	0.97	0.82	0.71	1.07
Rfd_L3	1.05	1.30	1.17	1.10	1.53
Rfd_L4	1.44	1.70	1.57	1.46	2.01
Rfd_Lss	1.62	2.05	1.84	1.74	2.46
