FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5
Size [pixels]	609	348	349	228	130
Fo	61.36	55.17	57.27	59.53	47.64
Fo_gauss	61.36	55.17	57.27	59.53	47.64
Fo_median	46.45	41.70	42.58	44.67	34.88
Fm	495.68	453.93	452.30	466.65	378.49
Fv	434.31	398.75	395.03	407.12	330.84
Fp	521.73	474.99	475.96	488.46	400.98
Fp-median	466.57	423.37	421.62	435.32	356.23
Fp-gauss	656.35	601.45	610.85	615.57	522.55
Fp-average	575.19	524.27	529.01	539.54	449.66
Fm_L1	436.68	406.12	396.56	428.09	338.25
Fm_L2	299.36	299.79	281.77	339.90	283.44
Fm_L3	248.77	246.71	210.23	252.56	235.68
Fm_L4	230.53	223.25	186.92	221.67	232.52
Fm_Lss	222.51	211.91	175.69	211.39	227.69
Fm_D1	399.26	361.37	355.62	387.26	302.94
Fm_D2	406.75	381.72	377.56	410.39	316.67
Fm_D3	409.14	379.63	377.31	408.48	322.15
Ft_L1	437.17	402.06	398.52	422.86	335.57
Ft_L2	305.65	308.63	289.64	342.27	277.71
Ft_L3	257.90	251.90	218.12	254.39	237.06
Ft_L4	231.47	216.01	188.30	212.56	215.04
Ft_Lss	215.47	204.92	172.33	200.01	222.91
Ft_D1	79.19	69.93	74.34	81.88	61.36
Ft_D2	78.25	70.12	76.40	75.78	63.17
Ft_D3	77.61	67.91	71.92	75.55	61.65
Fo_L1	60.31	54.37	56.16	58.86	46.81
Fo_L2	56.46	51.69	52.82	56.69	45.56
Fo_L3	54.27	49.70	49.55	53.43	44.04
Fo_L4	53.25	48.66	47.86	51.74	43.98
Fo_Lss	52.78	48.02	46.85	51.12	43.80
Fo_D1	59.47	53.43	55.24	57.96	46.19
Fo_D2	59.64	53.84	55.74	58.48	46.40
Fo_D3	59.71	53.82	55.78	58.43	46.51
Fv_L1	376.37	351.75	340.39	369.23	291.44
Fv_L2	242.90	248.10	228.96	283.21	237.88
Fv_L3	194.50	197.01	160.68	199.12	191.65
Fv_L4	177.28	174.58	139.06	169.93	188.54
Fv_Lss	169.73	163.89	128.84	160.27	183.89
Fv_D1	339.78	307.95	300.39	329.30	256.75
Fv_D2	347.12	327.88	321.82	351.91	270.27
Fv_D3	349.43	325.81	321.53	350.05	275.65
Fq_L1	-0.49	4.06	-1.96	5.23	2.68
Fq_L2	-6.30	-8.83	-7.87	-2.37	5.73
Fq_L3	-9.13	-5.20	-7.89	-1.84	-1.38
Fq_L4	-0.94	7.24	-1.38	9.11	17.49
Fq_Lss	7.04	6.99	3.36	11.38	4.78
Fq_D1	320.07	291.45	281.28	305.38	241.58
Fq_D2	328.50	311.60	301.16	334.61	253.50
Fq_D3	331.53	311.73	305.39	332.93	260.51
QY_max	0.88	0.88	0.87	0.87	0.87
Fv/Fm_L1	0.86	0.87	0.86	0.86	0.86
Fv/Fm_L2	0.81	0.83	0.81	0.83	0.84
Fv/Fm_L3	0.78	0.80	0.76	0.79	0.81
Fv/Fm_L4	0.77	0.78	0.74	0.76	0.81
Fv/Fm_Lss	0.76	0.77	0.72	0.76	0.80
Fv/Fm_D1	0.85	0.85	0.84	0.85	0.85
Fv/Fm_D2	0.85	0.86	0.85	0.86	0.85
Fv/Fm_D3	0.85	0.86	0.85	0.86	0.85
QY_L1	-0.01	-0.00	-0.03	0.00	-0.01
QY_L2	-0.04	-0.05	-0.05	-0.02	0.00
QY_L3	-0.06	-0.04	-0.06	-0.03	-0.02
QY_L4	-0.03	0.00	-0.05	0.02	0.06
QY_Lss	0.00	-0.00	-0.04	0.03	-0.00
QY_D1	0.80	0.80	0.79	0.79	0.80
QY_D2	0.81	0.81	0.79	0.81	0.80
QY_D3	0.81	0.82	0.81	0.81	0.80
NPQ_L1	0.15	0.14	0.18	0.11	0.14
NPQ_L2	0.69	0.57	0.66	0.41	0.36
NPQ_L3	1.05	0.90	1.22	0.91	0.64
NPQ_L4	1.22	1.12	1.55	1.18	0.66
NPQ_Lss	1.31	1.22	1.75	1.29	0.72
NPQ_D1	0.27	0.28	0.31	0.24	0.27
NPQ_D2	0.25	0.21	0.22	0.16	0.21
NPQ_D3	0.25	0.22	0.22	0.17	0.20
qN_L1	0.13	0.11	0.14	0.09	0.12
qN_L2	0.44	0.38	0.42	0.31	0.28
qN_L3	0.55	0.51	0.59	0.52	0.42
qN_L4	0.60	0.57	0.65	0.59	0.43
qN_Lss	0.61	0.59	0.68	0.61	0.44
qN_D1	0.21	0.23	0.24	0.20	0.22
qN_D2	0.20	0.17	0.18	0.14	0.18
qN_D3	0.19	0.18	0.19	0.14	0.16
qP_L1	-0.01	-0.00	-0.03	0.00	-0.02
qP_L2	-0.06	-0.07	-0.07	-0.03	0.00
qP_L3	-0.09	-0.06	-0.09	-0.04	-0.03
qP_L4	-0.05	-0.01	-0.10	0.01	0.07
qP_Lss	-0.01	-0.01	-0.12	0.02	-0.01
qP_D1	0.94	0.94	0.94	0.93	0.94
qP_D2	0.95	0.95	0.94	0.95	0.94
qP_D3	0.95	0.96	0.95	0.95	0.94
qL_L1	-0.29	-0.25	-0.51	-0.26	-0.29
qL_L2	-0.57	-0.64	-0.73	-0.41	-0.24
qL_L3	-0.75	-0.67	-0.82	-0.63	-0.55
qL_L4	-0.58	-0.46	-0.88	-0.21	-0.10
qL_Lss	-0.36	-0.55	-1.21	-0.28	-0.33
qL_D1	1.26	1.23	1.27	1.33	1.23
qL_D2	1.24	1.25	1.30	1.26	1.29
qL_D3	1.24	1.21	1.23	1.24	1.24
Rfd_L1	0.22	0.21	0.24	0.18	0.22
Rfd_L2	0.76	0.62	0.76	0.48	0.50
Rfd_L3	1.11	1.02	1.35	1.00	0.79
Rfd_L4	1.39	1.37	1.89	1.42	1.01
Rfd_Lss	1.56	1.47	2.06	1.59	0.89
