FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	2159	1117	1641	1290	1501	1172	563	827	462	449
Fo	73.87	64.45	78.18	59.09	92.08	63.20	75.83	98.05	92.55	64.12
Fo_gauss	73.87	64.45	78.18	59.09	92.08	63.20	75.83	98.05	92.55	64.12
Fo_median	59.00	50.32	63.42	44.90	74.46	48.13	58.84	79.59	75.21	49.95
Fm	574.11	525.67	591.02	496.29	677.16	495.86	568.09	725.16	702.17	493.22
Fv	500.23	461.22	512.84	437.19	585.08	432.66	492.26	627.11	609.63	429.10
Fp	594.98	554.93	636.51	533.29	705.18	536.32	597.68	752.10	723.89	521.41
Fp-median	543.02	503.97	583.45	475.67	635.39	477.87	536.51	679.56	652.22	473.00
Fp-gauss	714.53	678.84	774.65	676.44	853.40	676.89	728.85	905.36	871.47	646.00
Fp-average	639.61	602.70	687.67	587.46	763.85	590.57	649.19	812.99	781.49	566.75
Fm_L1	528.31	489.68	548.12	440.32	579.13	449.25	532.70	624.20	623.84	452.36
Fm_L2	392.79	407.96	438.90	340.75	396.95	355.36	410.72	417.57	471.21	352.85
Fm_L3	317.51	332.94	359.74	300.27	332.39	297.94	307.92	364.27	409.56	266.81
Fm_L4	267.35	283.69	306.63	269.49	285.39	258.57	256.56	321.64	359.74	228.72
Fm_Lss	242.84	264.22	287.92	255.72	257.60	243.72	231.15	295.14	339.62	208.53
Fm_D1	489.38	413.00	475.68	382.28	521.89	383.51	472.28	580.54	556.43	416.70
Fm_D2	507.40	461.12	506.80	398.37	546.87	409.82	486.76	606.49	582.23	432.26
Fm_D3	505.32	464.53	509.73	403.97	544.41	413.71	488.62	611.29	588.22	432.12
Ft_L1	507.21	478.42	550.44	441.17	592.23	454.12	528.24	632.80	616.65	451.50
Ft_L2	392.45	409.52	438.78	338.77	398.79	356.93	414.34	417.80	470.85	359.27
Ft_L3	301.13	329.06	355.63	285.46	323.44	294.33	308.73	352.42	389.06	271.75
Ft_L4	241.99	268.70	304.32	256.91	280.42	253.14	261.34	309.80	346.86	219.54
Ft_Lss	209.09	247.49	282.79	241.42	254.80	236.24	225.59	286.43	323.41	203.38
Ft_D1	89.57	81.36	100.78	74.45	114.80	77.16	90.70	118.31	112.56	76.87
Ft_D2	91.12	82.95	100.02	77.02	108.55	78.45	88.72	120.89	113.69	73.00
Ft_D3	89.25	81.12	96.65	75.11	105.92	76.51	84.78	117.89	111.62	69.88
Fo_L1	73.04	63.86	77.33	58.20	89.92	62.34	75.16	95.86	90.97	63.33
Fo_L2	69.53	62.11	74.58	55.78	83.67	59.95	71.97	88.73	86.56	60.67
Fo_L3	66.61	59.93	71.75	54.47	80.25	57.94	67.72	86.02	84.18	57.32
Fo_L4	63.95	58.00	69.24	53.30	77.03	56.19	64.74	83.34	81.68	55.16
Fo_Lss	62.37	57.08	68.22	52.71	74.67	55.34	62.82	81.31	80.39	53.84
Fo_D1	72.19	62.24	75.63	56.91	88.34	60.79	73.69	94.79	89.36	62.54
Fo_D2	72.60	63.31	76.42	57.29	89.05	61.47	74.08	95.49	90.04	62.92
Fo_D3	72.57	63.38	76.51	57.42	88.98	61.55	74.13	95.59	90.16	62.90
Fv_L1	455.28	425.83	470.79	382.12	489.22	386.91	457.54	528.34	532.87	389.03
Fv_L2	323.26	345.84	364.31	284.97	313.28	295.42	338.75	328.84	384.65	292.19
Fv_L3	250.91	273.01	287.99	245.80	252.14	240.00	240.20	278.26	325.38	209.49
Fv_L4	203.39	225.68	237.39	216.19	208.36	202.38	191.81	238.29	278.06	173.57
Fv_Lss	180.48	207.14	219.70	203.00	182.93	188.39	168.33	213.83	259.23	154.69
Fv_D1	417.19	350.76	400.05	325.37	433.55	322.72	398.58	485.75	467.07	354.16
Fv_D2	434.80	397.81	430.38	341.08	457.82	348.36	412.68	511.00	492.20	369.35
Fv_D3	432.75	401.15	433.22	346.55	455.43	352.16	414.49	515.70	498.06	369.23
Fq_L1	21.10	11.27	-2.32	-0.86	-13.10	-4.87	4.47	-8.60	7.19	0.86
Fq_L2	0.34	-1.56	0.12	1.98	-1.84	-1.57	-3.62	-0.23	0.36	-6.41
Fq_L3	16.38	3.88	4.10	14.81	8.95	3.60	-0.81	11.86	20.50	-4.94
Fq_L4	25.35	14.99	2.31	12.58	4.97	5.43	-4.78	11.84	12.87	9.18
Fq_Lss	33.76	16.74	5.14	14.30	2.80	7.48	5.56	8.71	16.21	5.15
Fq_D1	399.81	331.64	374.90	307.83	407.09	306.35	381.57	462.23	443.87	339.83
Fq_D2	416.28	378.17	406.78	321.35	438.32	331.38	398.03	485.60	468.55	359.27
Fq_D3	416.07	383.41	413.08	328.86	438.50	337.20	403.85	493.40	476.59	362.24
QY_max	0.87	0.88	0.87	0.88	0.86	0.87	0.87	0.87	0.87	0.87
Fv/Fm_L1	0.86	0.87	0.86	0.87	0.84	0.86	0.86	0.85	0.85	0.86
Fv/Fm_L2	0.82	0.85	0.83	0.83	0.79	0.83	0.82	0.79	0.82	0.83
Fv/Fm_L3	0.79	0.82	0.80	0.82	0.76	0.80	0.78	0.76	0.79	0.78
Fv/Fm_L4	0.76	0.79	0.77	0.80	0.73	0.78	0.74	0.74	0.77	0.76
Fv/Fm_Lss	0.74	0.78	0.76	0.79	0.70	0.77	0.72	0.72	0.76	0.74
Fv/Fm_D1	0.85	0.85	0.84	0.85	0.83	0.84	0.84	0.84	0.84	0.85
Fv/Fm_D2	0.86	0.86	0.85	0.85	0.83	0.85	0.85	0.84	0.84	0.85
Fv/Fm_D3	0.86	0.86	0.85	0.86	0.83	0.85	0.85	0.84	0.85	0.85
QY_L1	0.03	0.02	-0.01	-0.02	-0.04	-0.02	0.00	-0.02	0.01	-0.01
QY_L2	-0.01	-0.01	-0.01	-0.01	-0.01	-0.03	-0.02	-0.01	-0.01	-0.04
QY_L3	0.04	-0.00	-0.00	0.02	0.01	-0.01	-0.02	0.02	0.04	-0.04
QY_L4	0.08	0.04	-0.01	0.02	0.00	-0.01	-0.04	0.02	0.02	0.02
QY_Lss	0.13	0.05	-0.00	0.03	-0.02	-0.00	-0.00	0.01	0.03	-0.01
QY_D1	0.82	0.80	0.78	0.81	0.78	0.80	0.81	0.80	0.80	0.81
QY_D2	0.82	0.82	0.80	0.81	0.80	0.81	0.82	0.80	0.80	0.83
QY_D3	0.82	0.82	0.81	0.81	0.81	0.81	0.83	0.81	0.81	0.84
NPQ_L1	0.10	0.08	0.09	0.15	0.21	0.12	0.08	0.18	0.14	0.10
NPQ_L2	0.47	0.30	0.36	0.49	0.74	0.43	0.42	0.76	0.50	0.43
NPQ_L3	0.83	0.61	0.67	0.71	1.09	0.70	0.89	1.02	0.74	0.88
NPQ_L4	1.19	0.89	0.96	0.91	1.45	0.98	1.29	1.31	0.99	1.21
NPQ_Lss	1.42	1.03	1.10	1.02	1.78	1.11	1.58	1.51	1.13	1.43
NPQ_D1	0.19	0.29	0.27	0.34	0.36	0.32	0.24	0.27	0.30	0.20
NPQ_D2	0.14	0.15	0.18	0.29	0.30	0.24	0.21	0.22	0.23	0.16
NPQ_D3	0.15	0.15	0.17	0.26	0.30	0.23	0.20	0.20	0.22	0.16
qN_L1	0.09	0.07	0.08	0.12	0.17	0.10	0.07	0.16	0.12	0.09
qN_L2	0.35	0.25	0.29	0.34	0.47	0.31	0.31	0.48	0.36	0.32
qN_L3	0.50	0.41	0.44	0.43	0.58	0.44	0.52	0.56	0.46	0.51
qN_L4	0.60	0.51	0.54	0.50	0.65	0.53	0.62	0.62	0.54	0.60
qN_Lss	0.65	0.55	0.58	0.54	0.70	0.57	0.67	0.66	0.58	0.64
qN_D1	0.17	0.24	0.22	0.25	0.27	0.25	0.20	0.23	0.24	0.17
qN_D2	0.13	0.13	0.16	0.22	0.23	0.19	0.17	0.19	0.20	0.13
qN_D3	0.14	0.13	0.15	0.20	0.23	0.18	0.17	0.18	0.19	0.13
qP_L1	0.04	0.02	-0.02	-0.02	-0.06	-0.03	0.00	-0.03	0.01	-0.01
qP_L2	-0.01	-0.02	-0.02	-0.02	-0.03	-0.04	-0.03	-0.02	-0.01	-0.05
qP_L3	0.05	-0.00	-0.01	0.02	0.01	-0.02	-0.04	0.02	0.05	-0.06
qP_L4	0.10	0.04	-0.02	0.01	-0.00	-0.02	-0.07	0.02	0.02	0.01
qP_Lss	0.17	0.05	-0.01	0.03	-0.06	-0.01	-0.01	0.01	0.03	-0.02
qP_D1	0.96	0.95	0.93	0.95	0.95	0.95	0.96	0.95	0.95	0.96
qP_D2	0.96	0.95	0.95	0.95	0.96	0.95	0.97	0.95	0.95	0.97
qP_D3	0.96	0.96	0.96	0.95	0.97	0.96	0.98	0.96	0.96	0.98
qL_L1	0.18	0.01	-0.25	-0.43	-0.57	-0.86	-0.12	-0.27	-0.05	-0.20
qL_L2	-0.19	-0.28	-0.25	-0.40	-0.32	-0.71	-0.39	-0.26	-0.18	-0.51
qL_L3	0.03	-0.23	-0.26	-0.29	-0.18	-0.34	-0.40	-0.07	0.02	-0.53
qL_L4	0.19	-0.02	-0.29	-0.32	-0.32	-0.48	-0.59	-0.16	-0.06	-0.24
qL_Lss	0.36	-0.02	-0.28	-0.21	-0.66	-1.09	-0.38	-0.21	-0.06	-0.44
qL_D1	1.20	1.24	1.24	1.24	1.20	1.22	1.17	1.19	1.18	1.20
qL_D2	1.23	1.27	1.23	1.28	1.14	1.23	1.15	1.21	1.21	1.13
qL_D3	1.21	1.24	1.20	1.27	1.12	1.28	1.12	1.19	1.18	1.10
